Gene1,Gene2,Avg_Edge_Weight,NumberOfCancerType
LUM|4060,DCN|1634,2.45,8
MED26|9441,CHERP|10523,2.15,8
MRPL2|51069,KLHDC3|116138,2.0,9
MRPL4|51073,EIF3G|8666,1.95,8
MRPL55|128308,GUK1|2987,1.8,11
MRPS34|65993,MRPL28|10573,2.0,10
NCAPH2|29781,LMF2|91289,2.05,10
NDUFB7|4713,C19orf53|28974,2.0,11
NDUFV2|4729,MYL12B|103910,2.0,9
NEDD8|4738,C14orf119|55017,2.0,10
NPAT|4863,ATM|472,2.05,8
NUBP2|10101,MLST8|64223,2.1,13
NUS1|116150,GOPC|57120,1.9,8
NUSAP1|51203,BUB1B|701,2.4,10
PCDH12|51294,CD93|22918,1.8,8
PDAP1|11333,GNB2|2783,1.8,11
PLK4|10733,CCNA2|890,1.9,8
POLR1C|9533,BYSL|705,2.3,13
POLR1C|9533,MRPL2|51069,2.2,11
PPP1CA|5499,CORO1B|57175,2.0,8
PRMT5|10419,IPO4|79711,1.9,9
PSMA2|5683,MRPS24|64951,1.85,8
PSMB5|5693,NEDD8|4738,2.1,13
PSMB7|5695,NDUFA8|4702,2.2,11
PTCD2|79810,MRPS27|23107,1.8,8
RHOT2|89941,E4F1|1877,2.3,11
RNF115|27246,POLR3C|10623,2.0,9
RPL22|6146,RPL11|6135,2.5,11
RPL28|6158,RPL13A|23521,2.0,12
RPS10|6204,RPL10A|4736,2.1,12
RPS18|6222,RPS14|6208,1.9,8
RPS23|6228,RPS14|6208,2.1,12
RPS6KB2|6199,PPP1CA|5499,2.2,9
RPS8|6202,RPL5|6125,2.8499999999999996,14
RPSA|3921,RPL15|6138,1.9,11
RRP1|8568,PWP2|5822,2.3,11
RUVBL2|10856,PRMT1|3276,2.2,10
SCAF1|58506,MED25|81857,2.1,11
SCAF1|58506,PRR12|57479,2.55,12
SEH1L|81929,CEP76|79959,1.9,8
SGTA|6449,MAP2K2|5605,1.85,8
SHARPIN|81858,FBXL6|26233,1.95,8
SNRNP25|79622,POLR3K|51728,2.1500000000000004,10
SPG7|6687,CDK10|8558,2.0,9
SPRN|503542,MTG1|92170,2.0,9
TELO2|9894,RHOT2|89941,2.1,10
THAP4|51078,STK25|10494,1.9,9
TIE1|7075,BCL6B|255877,1.9,8
TIE1|7075,PCDH12|51294,2.1,9
TIMM13|26517,LSM7|51690,1.85,10
TMED9|54732,B4GALT7|11285,1.85,10
TMUB1|83590,FASTK|10922,2.1,12
TPI1|7167,MRPL51|51258,2.1,9
TRAPPC1|58485,GABARAP|11337,2.2,13
TRAPPC3|27095,LSM10|84967,2.1,12
TUBGCP6|85378,CHKB-CPT1B|386593,1.85,8
TXN2|25828,TOMM22|56993,2.2,11
UBE2J2|118424,NOC2L|26155,1.95,10
UBE2V2|7336,TCEA1|6917,1.8,8
UQCRQ|27089,NDUFA2|4695,2.4,13
URM1|81605,DPM2|8818,2.0,9
USP5|8078,TPI1|7167,1.9,9
VCP|7415,STOML2|30968,1.85,8
VPS28|51160,CYHR1|50626,2.0,10
WBP4|11193,MRPS31|10240,2.2,9
WIZ|58525,CHERP|10523,2.2,9
XPO5|57510,RPL7L1|285855,2.1500000000000004,8
XPO7|23039,CHMP7|91782,1.9,9
YEATS4|8089,CCT2|10576,2.3,8
ZDHHC16|84287,EXOSC1|51013,2.0,8
